id,product,category,quantity,unit_price,region,sales_rep,total
1,Mouse,Furniture,5.0,600.08,East,Bob,3000.4
2,Mouse,Office,4.0,337.08,North,,1348.32
3,Desk,Electronics,2.0,96.46,South,Carol,192.92
4,Laptop,Electronics,2.0,1345.69,North,Bob,2691.38
5,Phone,Furniture,5.0,104.06,,Carol,520.3
6,Mouse,Furniture,,1242.49,,Alice,
7,Laptop,Office,4.0,1038.69,South,Eve,4154.76
8,Monitor,Furniture,1.0,694.82,West,,694.82
9,Desk,Office,,1409.33,North,Bob,
10,Mouse,Office,2.0,1096.36,,Alice,2192.72
11,Tablet,Electronics,5.0,1214.06,North,,6070.299999999999
12,Laptop,Office,3.0,1030.82,,Dave,3092.46
13,Desk,Office,2.0,536.95,North,Alice,1073.9
14,Laptop,Office,4.0,964.57,West,Carol,3858.28
15,Mouse,Office,3.0,335.15,North,,1005.4499999999999
16,Desk,Office,1.0,1302.04,South,Alice,1302.04
17,Desk,Office,1.0,99.72,South,Alice,99.72
18,Phone,Electronics,1.0,966.63,West,Dave,966.63
19,Desk,Electronics,5.0,1136.19,South,,5680.950000000001
20,Chair,Office,3.0,828.7,,Dave,2486.1000000000004
21,Chair,Office,5.0,267.69,East,,1338.45
22,Laptop,Electronics,,665.64,North,Carol,
23,Chair,Electronics,3.0,363.78,North,Bob,1091.34
24,Chair,Office,5.0,1221.98,South,,6109.9
25,Desk,Furniture,,654.59,,,
26,Monitor,Furniture,3.0,121.55,,Alice,364.65
27,Tablet,Furniture,3.0,309.69,South,,929.0699999999999
28,Chair,Electronics,2.0,1438.81,North,Carol,2877.62
29,Desk,Electronics,1.0,177.09,East,Alice,177.09
30,Keyboard,Office,2.0,146.46,,,292.92
31,Desk,Electronics,1.0,682.42,East,Bob,682.42
32,Desk,Furniture,3.0,905.29,South,,2715.87
33,Desk,Office,3.0,84.36,North,Eve,253.07999999999998
34,Keyboard,Office,3.0,220.76,East,Dave,662.28
35,Desk,Furniture,5.0,364.16,East,Dave,1820.8000000000002
36,Mouse,Electronics,5.0,738.16,East,,3690.7999999999997
37,Keyboard,Furniture,,233.17,,Alice,
38,Desk,Office,4.0,353.23,West,Alice,1412.92
39,Laptop,Electronics,4.0,669.34,West,Bob,2677.36
40,Laptop,Furniture,,976.17,West,Dave,
41,Tablet,Furniture,2.0,400.15,North,Dave,800.3
42,Tablet,Furniture,2.0,579.93,East,Carol,1159.86
43,Laptop,Furniture,5.0,273.07,East,Bob,1365.35
44,Phone,Furniture,4.0,162.12,East,Dave,648.48
45,Desk,Furniture,5.0,688.55,South,,3442.75
46,Phone,Electronics,1.0,1248.86,West,Dave,1248.86
47,Keyboard,Office,4.0,1051.83,West,Carol,4207.32
48,Tablet,Furniture,3.0,1364.66,East,Eve,4093.9800000000005
49,Phone,Office,5.0,1223.01,,Bob,6115.05
50,Chair,Office,4.0,1399.74,East,Carol,5598.96
51,Desk,Office,,1301.1,West,Dave,
52,Monitor,Office,4.0,1385.43,East,Eve,5541.72
53,Tablet,Furniture,,1033.08,West,,
54,Keyboard,Furniture,1.0,1460.41,,,1460.41
55,Monitor,Electronics,5.0,670.94,South,Alice,3354.7000000000003
56,Keyboard,Office,5.0,663.22,South,,3316.1000000000004
57,Tablet,Electronics,4.0,177.03,South,Dave,708.12
58,Monitor,Office,1.0,406.0,East,Bob,406.0
59,Desk,Electronics,2.0,512.5,South,Alice,1025.0
60,Tablet,Furniture,5.0,613.7,East,Bob,3068.5
61,Desk,Furniture,,230.7,East,Carol,
62,Tablet,Electronics,2.0,345.18,West,,690.36
63,Tablet,Office,4.0,86.82,,Carol,347.28
64,Laptop,Furniture,2.0,459.98,West,Alice,919.96
65,Desk,Electronics,2.0,40.46,South,Bob,80.92
66,Mouse,Electronics,1.0,1277.34,North,Bob,1277.34
67,Tablet,Electronics,3.0,539.54,,Alice,1618.62
68,Monitor,Electronics,2.0,159.91,North,,319.82
69,Mouse,Office,2.0,393.39,East,Alice,786.78
70,Chair,Office,4.0,306.04,,,1224.16
71,Phone,Electronics,3.0,1433.16,South,Alice,4299.4800000000005
72,Monitor,Furniture,3.0,896.21,East,,2688.63
73,Phone,Office,3.0,794.93,South,Alice,2384.79
74,Desk,Office,1.0,35.41,South,Bob,35.41
75,Mouse,Electronics,4.0,987.35,,Dave,3949.4
76,Phone,Electronics,2.0,635.37,South,Alice,1270.74
77,Mouse,Electronics,,998.0,,Alice,
78,Monitor,Electronics,3.0,447.72,West,Carol,1343.16
79,Mouse,Electronics,5.0,396.67,South,Eve,1983.3500000000001
80,Mouse,Electronics,3.0,845.39,South,Carol,2536.17
81,Mouse,Furniture,2.0,657.63,East,Alice,1315.26
82,Desk,Office,1.0,97.04,,Eve,97.04
83,Tablet,Office,5.0,121.22,West,Bob,606.1
84,Chair,Electronics,1.0,103.45,South,Carol,103.45
85,Mouse,Furniture,5.0,1240.8,South,Carol,6204.0
86,Laptop,Furniture,1.0,790.12,,Bob,790.12
87,Tablet,Office,2.0,1427.71,East,Dave,2855.42
88,Mouse,Furniture,1.0,1055.97,South,Dave,1055.97
89,Laptop,Office,4.0,48.08,,Alice,192.32
90,Tablet,Office,,388.25,,Bob,
91,Tablet,Furniture,5.0,771.5,South,Carol,3857.5
92,Tablet,Electronics,5.0,928.84,South,Dave,4644.2
93,Desk,Office,1.0,1103.32,West,Alice,1103.32
94,Desk,Electronics,1.0,980.41,,Bob,980.41
95,Chair,Office,,1289.91,North,Dave,
96,Keyboard,Electronics,,685.12,North,Alice,
97,Phone,Furniture,2.0,421.26,West,Eve,842.52
98,Monitor,Furniture,1.0,228.26,,Alice,228.26
99,Phone,Electronics,2.0,1229.23,North,Bob,2458.46
100,Tablet,Electronics,5.0,540.26,West,Eve,2701.3
101,Mouse,Furniture,4.0,933.6,West,Bob,3734.4
102,Keyboard,Furniture,4.0,781.26,West,Bob,3125.04
103,Chair,Electronics,5.0,1032.48,South,Eve,5162.4
104,Mouse,Office,4.0,968.73,,Alice,3874.92
105,Monitor,Furniture,5.0,1347.1,North,,6735.5
106,Chair,Furniture,4.0,695.73,West,Eve,2782.92
107,Phone,Office,3.0,41.06,East,,123.18
108,Desk,Electronics,5.0,453.64,,Alice,2268.2
109,Monitor,Electronics,,1217.92,South,Alice,
110,Chair,Electronics,4.0,1253.56,West,Eve,5014.24
111,Keyboard,Furniture,3.0,280.49,North,Eve,841.47
112,Phone,Electronics,2.0,987.24,,,1974.48
113,Mouse,Office,,193.73,North,Bob,
114,Laptop,Electronics,,297.55,East,Alice,
115,Phone,Office,4.0,680.23,West,Dave,2720.92
116,Tablet,Office,4.0,1129.57,West,Carol,4518.28
117,Mouse,Electronics,,5.46,South,Alice,
118,Mouse,Office,,369.62,,Bob,
119,Keyboard,Furniture,2.0,273.0,West,Dave,546.0
120,Mouse,Electronics,4.0,1461.23,East,,5844.92
121,Keyboard,Furniture,1.0,521.29,North,Alice,521.29
122,Monitor,Office,3.0,179.31,,,537.9300000000001
123,Tablet,Furniture,1.0,911.48,North,,911.48
