order_id,product,category,quantity,unit_price,total,region,sales_rep
1001,Laptop Pro,Electronics,2.0,899.99,1799.98,North,Alice
1002,Wireless Mouse,Electronics,5.0,29.99,149.95,South,Bob
1003,Office Chair,Furniture,1.0,349.0,349.0,East,Carol
1004,Desk Lamp,Furniture,3.0,,0.0,West,Dave
1005,Laptop Pro,Electronics,2.0,899.99,1799.98,North,Alice
1006,Keyboard,Electronics,4.0,79.99,319.96,South,Bob
1007,Monitor,Electronics,1.0,449.99,449.99,,Carol
1008,USB Hub,Electronics,,19.99,0.0,West,Dave
1009,Webcam,Electronics,2.0,89.99,179.98,North,
1010,Laptop Pro,Electronics,2.0,899.99,1799.98,South,Alice
1011,Notebook,Stationery,10.0,4.5,45.0,East,Bob
1012,Pen Set,Stationery,20.0,1.99,39.8,West,Carol
1013,Office Chair,Furniture,1.0,349.0,349.0,North,Dave
1014,Desk Lamp,Furniture,3.0,39.99,119.97,South,Alice
1015,Wireless Mouse,Electronics,5.0,29.99,149.95,East,Bob
